"","age_group","primary_series_rate","week","week_num"
"1","0-17 years",0.00889591834004318,2021-12-26,0
"2","18-49 years",0.00330946630591335,2021-12-26,0
"3","50-64 years",0.00259965541119308,2021-12-26,0
"4","65-74 years",0.00191072646582041,2021-12-26,0
"5","75+ years",0.00154072394036986,2021-12-26,0
"6","0-17 years",0.0114581352974223,2022-01-02,1
"7","18-49 years",0.00403057739204927,2022-01-02,1
"8","50-64 years",0.00303835588137903,2022-01-02,1
"9","65-74 years",0.0022346434698391,2022-01-02,1
"10","75+ years",0.00177446363267379,2022-01-02,1
"11","0-17 years",0.00846509712983357,2022-01-09,2
"12","18-49 years",0.00337330517501035,2022-01-09,2
"13","50-64 years",0.00246918994599474,2022-01-09,2
"14","65-74 years",0.00180442735784709,2022-01-09,2
"15","75+ years",0.00147790384854647,2022-01-09,2
"16","0-17 years",0.00780447462691299,2022-01-16,3
"17","18-49 years",0.00287828295235201,2022-01-16,3
"18","50-64 years",0.00204497031496928,2022-01-16,3
"19","65-74 years",0.00147017571833099,2022-01-16,3
"20","75+ years",0.00120745111556653,2022-01-16,3
"21","0-17 years",0.0100078238121134,2022-01-23,4
"22","18-49 years",0.00308919653506123,2022-01-23,4
"23","50-64 years",0.00195105172955695,2022-01-23,4
"24","65-74 years",0.00138956556145122,2022-01-23,4
"25","75+ years",0.00108874561738077,2022-01-23,4
"26","0-17 years",0.0090871570870595,2022-01-30,5
"27","18-49 years",0.00291576475485133,2022-01-30,5
"28","50-64 years",0.00172294403459073,2022-01-30,5
"29","65-74 years",0.00114537288841251,2022-01-30,5
"30","75+ years",0.000927616161080506,2022-01-30,5
"31","0-17 years",0.00737410312569108,2022-02-06,6
"32","18-49 years",0.00256798839558831,2022-02-06,6
"33","50-64 years",0.00148987148048376,2022-02-06,6
"34","65-74 years",0.00102047143654386,2022-02-06,6
"35","75+ years",0.000835017714042126,2022-02-06,6
"36","0-17 years",0.00583047702543588,2022-02-13,7
"37","18-49 years",0.00218706602833122,2022-02-13,7
"38","50-64 years",0.00120521955641466,2022-02-13,7
"39","65-74 years",0.000820865333793963,2022-02-13,7
"40","75+ years",0.000672664489719329,2022-02-13,7
"41","0-17 years",0.00468990260540026,2022-02-20,8
"42","18-49 years",0.0019214415649571,2022-02-20,8
"43","50-64 years",0.00105061935928217,2022-02-20,8
"44","65-74 years",0.000701869387923831,2022-02-20,8
"45","75+ years",0.000555998604904454,2022-02-20,8
"46","0-17 years",0.00371774420125556,2022-02-27,9
"47","18-49 years",0.00164092707045312,2022-02-27,9
"48","50-64 years",0.000892157605040215,2022-02-27,9
"49","65-74 years",0.000617420652145027,2022-02-27,9
"50","75+ years",0.000489099286339281,2022-02-27,9
"51","0-17 years",0.00289882413466716,2022-03-06,10
"52","18-49 years",0.00125007801577613,2022-03-06,10
"53","50-64 years",0.000658947138179339,2022-03-06,10
"54","65-74 years",0.000459153091384753,2022-03-06,10
"55","75+ years",0.000388750308491522,2022-03-06,10
"56","0-17 years",0.00230869351556741,2022-03-13,11
"57","18-49 years",0.00107784428404794,2022-03-13,11
"58","50-64 years",0.000601851258060828,2022-03-13,11
"59","65-74 years",0.000426968083692831,2022-03-13,11
"60","75+ years",0.000374880937569474,2022-03-13,11
"61","0-17 years",0.00205247181982949,2022-03-20,12
"62","18-49 years",0.000963972628357488,2022-03-20,12
"63","50-64 years",0.000527792109211455,2022-03-20,12
"64","65-74 years",0.000418995650594832,2022-03-20,12
"65","75+ years",0.000371209633501873,2022-03-20,12
"66","0-17 years",0.00160928361245833,2022-03-27,13
"67","18-49 years",0.000820948459612017,2022-03-27,13
"68","50-64 years",0.000823752879101129,2022-03-27,13
"69","65-74 years",0.00128060897577857,2022-03-27,13
"70","75+ years",0.00124008492950076,2022-03-27,13
"71","0-17 years",0.00127087759921958,2022-04-03,14
"72","18-49 years",0.00070011671274209,2022-04-03,14
"73","50-64 years",0.00102303680850028,2022-04-03,14
"74","65-74 years",0.00205452553688431,2022-04-03,14
"75","75+ years",0.00205919365924995,2022-04-03,14
"76","0-17 years",0.0011720540491741,2022-04-10,15
"77","18-49 years",0.000657500416749722,2022-04-10,15
"78","50-64 years",0.00100690101629287,2022-04-10,15
"79","65-74 years",0.00199547047689914,2022-04-10,15
"80","75+ years",0.00201350631974203,2022-04-10,15
"81","0-17 years",0.00101701687566704,2022-04-17,16
"82","18-49 years",0.00056724743112733,2022-04-17,16
"83","50-64 years",0.000884434490821286,2022-04-17,16
"84","65-74 years",0.00166210466328281,2022-04-17,16
"85","75+ years",0.00173897436002031,2022-04-17,16
"86","0-17 years",0.000919317598090806,2022-04-24,17
"87","18-49 years",0.000597769142447166,2022-04-24,17
"88","50-64 years",0.000900432370274781,2022-04-24,17
"89","65-74 years",0.00151062843442083,2022-04-24,17
"90","75+ years",0.00161333417637353,2022-04-24,17
"91","0-17 years",0.000861642420419217,2022-05-01,18
"92","18-49 years",0.000555209896382498,2022-05-01,18
"93","50-64 years",0.000872298168477254,2022-05-01,18
"94","65-74 years",0.00143562850823966,2022-05-01,18
"95","75+ years",0.00144404626658971,2022-05-01,18
"96","0-17 years",0.000759670907459896,2022-05-08,19
"97","18-49 years",0.000520865839906721,2022-05-08,19
"98","50-64 years",0.000866643745566967,2022-05-08,19
"99","65-74 years",0.00133877820986397,2022-05-08,19
"100","75+ years",0.00139020047359822,2022-05-08,19
"101","0-17 years",0.000775410722029141,2022-05-15,20
"102","18-49 years",0.00053809491807231,2022-05-15,20
"103","50-64 years",0.000912982430880541,2022-05-15,20
"104","65-74 years",0.00132224279306812,2022-05-15,20
"105","75+ years",0.00132044569631381,2022-05-15,20
"106","0-17 years",0.000899530402632327,2022-05-22,21
"107","18-49 years",0.000519553691569607,2022-05-22,21
"108","50-64 years",0.000886641094883837,2022-05-22,21
"109","65-74 years",0.00121299093209554,2022-05-22,21
"110","75+ years",0.00116788261617128,2022-05-22,21
"111","0-17 years",0.000755623526570662,2022-05-29,22
"112","18-49 years",0.000456057122038809,2022-05-29,22
"113","50-64 years",0.000697562709273984,2022-05-29,22
"114","65-74 years",0.000909447923771729,2022-05-29,22
"115","75+ years",0.000871730754718136,2022-05-29,22
"116","0-17 years",0.000794186072265311,2022-06-05,23
"117","18-49 years",0.000474256048975309,2022-06-05,23
"118","50-64 years",0.000725558998317602,2022-06-05,23
"119","65-74 years",0.000898818012974397,2022-06-05,23
"120","75+ years",0.000910483408765035,2022-06-05,23
"121","0-17 years",0.000753824690619891,2022-06-12,24
"122","18-49 years",0.000453318725509179,2022-06-12,24
"123","50-64 years",0.000619228265053418,2022-06-12,24
"124","65-74 years",0.000812892900695964,2022-06-12,24
"125","75+ years",0.00073018158677841,2022-06-12,24
"126","0-17 years",0.000678273580687517,2022-06-19,25
"127","18-49 years",0.000422625864406242,2022-06-19,25
"128","50-64 years",0.000589439110208978,2022-06-19,25
"129","65-74 years",0.000686219797027759,2022-06-19,25
"130","75+ years",0.000629832608930651,2022-06-19,25
"131","0-17 years",0.000710315346060622,2022-06-26,26
"132","18-49 years",0.000417719570623988,2022-06-26,26
"133","50-64 years",0.000543652075911041,2022-06-26,26
"134","65-74 years",0.000623621433443471,2022-06-26,26
"135","75+ years",0.00058577696011944,2022-06-26,26
"136","0-17 years",0.000717398262616782,2022-07-03,27
"137","18-49 years",0.000417947770334791,2022-07-03,27
"138","50-64 years",0.00047897099432751,2022-07-03,27
"139","65-74 years",0.000605904915447918,2022-07-03,27
"140","75+ years",0.000546616383398363,2022-07-03,27
"141","0-17 years",0.000815996958168407,2022-07-10,28
"142","18-49 years",0.000464899860832406,2022-07-10,28
"143","50-64 years",0.000691356635348059,2022-07-10,28
"144","65-74 years",0.000865747179382697,2022-07-10,28
"145","75+ years",0.000795041291972694,2022-07-10,28
"146","0-17 years",0.00192059465918861,2022-07-17,29
"147","18-49 years",0.000466611358663425,2022-07-17,29
"148","50-64 years",0.000676875796187567,2022-07-17,29
"149","65-74 years",0.000853640892085736,2022-07-17,29
"150","75+ years",0.000848479162289996,2022-07-17,29
"151","0-17 years",0.00241235143723058,2022-07-24,30
"152","18-49 years",0.000452177726955167,2022-07-24,30
"153","50-64 years",0.000535101485168656,2022-07-24,30
"154","65-74 years",0.00066171194713391,2022-07-24,30
"155","75+ years",0.000625345459514694,2022-07-24,30
"156","0-17 years",0.00203909297744563,2022-07-31,31
"157","18-49 years",0.000425820660357477,2022-07-31,31
"158","50-64 years",0.000436218040615582,2022-07-31,31
"159","65-74 years",0.000541239624764149,2022-07-31,31
"160","75+ years",0.000493586435755238,2022-07-31,31
"161","0-17 years",0.0020379687049764,2022-08-07,32
"162","18-49 years",0.000368143183452144,2022-08-07,32
"163","50-64 years",0.000358435247410654,2022-08-07,32
"164","65-74 years",0.000420472027094462,2022-08-07,32
"165","75+ years",0.000364274948040849,2022-08-07,32
"166","0-17 years",0.0017284564941969,2022-08-14,33
"167","18-49 years",0.000396439947591654,2022-08-14,33
"168","50-64 years",0.000344092321004071,2022-08-14,33
"169","65-74 years",0.000413975970496092,2022-08-14,33
"170","75+ years",0.000348365963747912,2022-08-14,33
"171","0-17 years",0.00157578029287523,2022-08-21,34
"172","18-49 years",0.000372079628463487,2022-08-21,34
"173","50-64 years",0.000310717434557985,2022-08-21,34
"174","65-74 years",0.000345767376213212,2022-08-21,34
"175","75+ years",0.000307573696330124,2022-08-21,34
"176","0-17 years",0.00125502535740341,2022-08-28,35
"177","18-49 years",0.000299055721006685,2022-08-28,35
"178","50-64 years",0.0002145922450831,2022-08-28,35
"179","65-74 years",0.000214665143046119,2022-08-28,35
"180","75+ years",0.000183157280705869,2022-08-28,35
"181","0-17 years",0.00123343932599416,2022-09-04,36
"182","18-49 years",0.000472430451288889,2022-09-04,36
"183","50-64 years",0.000290582172487206,2022-09-04,36
"184","65-74 years",0.00042490115659335,2022-09-04,36
"185","75+ years",0.000366314561411739,2022-09-04,36
"186","0-17 years",0.00168775783081071,2022-09-11,37
"187","18-49 years",0.000670564850193165,2022-09-11,37
"188","50-64 years",0.000529447062258368,2022-09-11,37
"189","65-74 years",0.0008498023131867,2022-09-11,37
"190","75+ years",0.000784843225118247,2022-09-11,37
"191","0-17 years",0.00167347957045147,2022-09-18,38
"192","18-49 years",0.000717231691052278,2022-09-18,38
"193","50-64 years",0.000580888519466592,2022-09-18,38
"194","65-74 years",0.000973817939155572,2022-09-18,38
"195","75+ years",0.000970040119195005,2022-09-18,38
"196","0-17 years",0.00139117475342737,2022-09-25,39
"197","18-49 years",0.000694411719972027,2022-09-25,39
"198","50-64 years",0.000620469479838603,2022-09-25,39
"199","65-74 years",0.0010015738173486,2022-09-25,39
"200","75+ years",0.00109037730807748,2022-09-25,39
"201","0-17 years",0.00122219660130184,2022-10-02,40
"202","18-49 years",0.000700972461657599,2022-10-02,40
"203","50-64 years",0.000653568540776871,2022-10-02,40
"204","65-74 years",0.00106978241163148,2022-10-02,40
"205","75+ years",0.00108589015866152,2022-10-02,40
"206","0-17 years",0.00113900043857869,2022-10-09,41
"207","18-49 years",0.000713694595534839,2022-10-09,41
"208","50-64 years",0.000693425326656701,2022-10-09,41
"209","65-74 years",0.00112617999391733,2022-10-09,41
"210","75+ years",0.00111077344178638,2022-10-09,41
"211","0-17 years",0.00110403556478558,2022-10-16,42
"212","18-49 years",0.00071380869539024,2022-10-16,42
"213","50-64 years",0.000719352924391677,2022-10-16,42
"214","65-74 years",0.00109753828982452,2022-10-16,42
"215","75+ years",0.00113280126619198,2022-10-16,42
"216","0-17 years",0.00108964487717942,2022-10-23,43
"217","18-49 years",0.000684028633130513,2022-10-23,43
"218","50-64 years",0.000746659649665748,2022-10-23,43
"219","65-74 years",0.00105206589363593,2022-10-23,43
"220","75+ years",0.00109078523075166,2022-10-23,43
"221","0-17 years",0.000946300137352368,2022-10-30,44
"222","18-49 years",0.000657842716315926,2022-10-30,44
"223","50-64 years",0.00062129695636206,2022-10-30,44
"224","65-74 years",0.000895865259975138,2022-10-30,44
"225","75+ years",0.000893758579123741,2022-10-30,44
"226","0-17 years",0.000922915269992347,2022-11-06,45
"227","18-49 years",0.000603017735795623,2022-11-06,45
"228","50-64 years",0.000577440700618856,2022-11-06,45
"229","65-74 years",0.000726377237817679,2022-11-06,45
"230","75+ years",0.000717535983878896,2022-11-06,45
"231","0-17 years",0.000893009622310782,2022-11-13,46
"232","18-49 years",0.000595144845772937,2022-11-13,46
"233","50-64 years",0.00058626711686906,2022-11-13,46
"234","65-74 years",0.000788680326102041,2022-11-13,46
"235","75+ years",0.000759959941993396,2022-11-13,46
"236","0-17 years",0.000558988271702028,2022-11-20,47
"237","18-49 years",0.00045160722767816,2022-11-20,47
"238","50-64 years",0.000403118979677314,2022-11-20,47
"239","65-74 years",0.000475983783480528,2022-11-20,47
"240","75+ years",0.000450754554966561,2022-11-20,47
"241","0-17 years",0.000870861454666917,2022-11-27,48
"242","18-49 years",0.000530107928194223,2022-11-27,48
"243","50-64 years",0.000519517343976888,2022-11-27,48
"244","65-74 years",0.000679723740429389,2022-11-27,48
"245","75+ years",0.000613515701963536,2022-11-27,48
"246","0-17 years",0.000752812845397583,2022-12-04,49
"247","18-49 years",0.000522235038171536,2022-12-04,49
"248","50-64 years",0.000550823539114333,2022-12-04,49
"249","65-74 years",0.000664664700133169,2022-12-04,49
"250","75+ years",0.000622490000795449,2022-12-04,49
"251","0-17 years",0.000581923430074356,2022-12-11,50
"252","18-49 years",0.000507744356535577,2022-12-11,50
"253","50-64 years",0.000504484853800758,2022-12-11,50
"254","65-74 years",0.000628936388842137,2022-12-11,50
"255","75+ years",0.000525812327015291,2022-12-11,50
"256","0-17 years",0.000569556432912807,2022-12-18,51
"257","18-49 years",0.000453718075003084,2022-12-18,51
"258","50-64 years",0.00040422228170859,2022-12-18,51
"259","65-74 years",0.00044645625348794,2022-12-18,51
"260","75+ years",0.000419752431729041,2022-12-18,51
"261","0-17 years",0.000505697756660443,2022-12-25,52
"262","18-49 years",0.000358045346249133,2022-12-25,52
"263","50-64 years",0.000350436307683906,2022-12-25,52
"264","65-74 years",0.000380314586304541,2022-12-25,52
"265","75+ years",0.000302270701565811,2022-12-25,52
"266","0-17 years",0.000591817027803595,2023-01-01,53
"267","18-49 years",0.000335225375168882,2023-01-01,53
"268","50-64 years",0.00032685322676539,2023-01-01,53
"269","65-74 years",0.00035314925871136,2023-01-01,53
"270","75+ years",0.000258622975428778,2023-01-01,53
"271","0-17 years",0.0005976632446436,2023-01-08,54
"272","18-49 years",0.00030322036572883,2023-01-08,54
"273","50-64 years",0.000298443199460044,2023-01-08,54
"274","65-74 years",0.000342519347914028,2023-01-08,54
"275","75+ years",0.000289217175992119,2023-01-08,54
"276","0-17 years",0.000490520078325814,2023-01-15,55
"277","18-49 years",0.000228998409790315,2023-01-15,55
"278","50-64 years",0.000212937292036187,2023-01-15,55
"279","65-74 years",0.000247735976637818,2023-01-15,55
"280","75+ years",0.000204777182437297,2023-01-15,55
"281","0-17 years",0.000476241817966571,2023-01-22,56
"282","18-49 years",0.000206349588493167,2023-01-22,56
"283","50-64 years",0.00019225037894977,2023-01-22,56
"284","65-74 years",0.000219094272545007,2023-01-22,56
"285","75+ years",0.000180709744660802,2023-01-22,56
"286","0-17 years",0.000436442572555767,2023-01-29,57
"287","18-49 years",0.000196251751290156,2023-01-29,57
"288","50-64 years",0.000184251439223022,2023-01-29,57
"289","65-74 years",0.00019015729315227,2023-01-29,57
"290","75+ years",0.000157866074906841,2023-01-29,57
"291","0-17 years",0.000394844491194192,2023-02-05,58
"292","18-49 years",0.000174344579053115,2023-02-05,58
"293","50-64 years",0.000159565056273231,2023-02-05,58
"294","65-74 years",0.000158267560760275,2023-02-05,58
"295","75+ years",0.000145628394681504,2023-02-05,58
"296","0-17 years",0.00035369611882031,2023-02-12,59
"297","18-49 years",0.000133953230241071,2023-02-12,59
"298","50-64 years",0.000122604438225499,2023-02-12,59
"299","65-74 years",0.000140551042764722,2023-02-12,59
"300","75+ years",9.79014418026919e-05,2023-02-12,59
"301","0-17 years",0.000314234155150275,2023-02-19,60
"302","18-49 years",0.00012836233732641,2023-02-19,60
"303","50-64 years",0.00010729612254155,2023-02-19,60
"304","65-74 years",0.000125492002468502,2023-02-19,60
"305","75+ years",9.30063697125573e-05,2023-02-19,60
"306","0-17 years",0.000321541926200282,2023-02-26,61
"307","18-49 years",0.000137718525469313,2023-02-26,61
"308","50-64 years",0.000112536807190109,2023-02-26,61
"309","65-74 years",0.000115747917570947,2023-02-26,61
"310","75+ years",9.79014418026919e-05,2023-02-26,61
"311","0-17 years",0.000329524260731827,2023-03-05,62
"312","18-49 years",0.000136178177421396,2023-03-05,62
"313","50-64 years",0.000104262041955542,2023-03-05,62
"314","65-74 years",0.000105413282073541,2023-03-05,62
"315","75+ years",8.97429883191342e-05,2023-03-05,62
"316","0-17 years",0.000287926179370252,2023-03-12,63
"317","18-49 years",0.000115925453087673,2023-03-12,63
"318","50-64 years",9.14361558419636e-05,2023-03-12,63
"319","65-74 years",0.000102165253774357,2023-03-12,63
"320","75+ years",7.09785453069516e-05,2023-03-12,63
"321","0-17 years",0.000302991430457958,2023-03-19,64
"322","18-49 years",0.000113187056558043,2023-03-19,64
"323","50-64 years",8.20580885761211e-05,2023-03-19,64
"324","65-74 years",9.09447923771729e-05,2023-03-19,64
"325","75+ years",6.68993185651728e-05,2023-03-19,64
"326","0-17 years",0.000264766166504078,2023-03-26,65
"327","18-49 years",0.000104629567402949,2023-03-26,65
"328","50-64 years",6.97838534781803e-05,2023-03-26,65
"329","65-74 years",8.20865333793963e-05,2023-03-26,65
"330","75+ years",7.09785453069516e-05,2023-03-26,65
"331","0-17 years",0.000238795472464825,2023-04-02,66
"332","18-49 years",9.48740297661421e-05,2023-04-02,66
"333","50-64 years",6.96459407242709e-05,2023-04-02,66
"334","65-74 years",7.41141002813974e-05,2023-04-02,66
"335","75+ years",5.05824115980575e-05,2023-04-02,66
"336","0-17 years",0.000239132754205594,2023-04-09,67
"337","18-49 years",9.20785833088114e-05,2023-04-09,67
"338","50-64 years",5.81991821497868e-05,2023-04-09,67
"339","65-74 years",6.82085942828796e-05,2023-04-09,67
"340","75+ years",5.38457929914805e-05,2023-04-09,67
"341","0-17 years",0.000161895235569373,2023-04-16,68
"342","18-49 years",6.85740130961532e-05,2023-04-16,68
"343","50-64 years",5.62684035950545e-05,2023-04-16,68
"344","65-74 years",0.000102460529074282,2023-04-16,68
"345","75+ years",7.75053080937977e-05,2023-04-16,68
"346","0-17 years",0.000119510163479335,2023-04-23,69
"347","18-49 years",6.09293227842692e-05,2023-04-23,69
"348","50-64 years",5.54409270715978e-05,2023-04-23,69
"349","65-74 years",0.000146456548763239,2023-04-23,69
"350","75+ years",0.000146036317355682,2023-04-23,69
"351","0-17 years",0.000119397736232412,2023-04-30,70
"352","18-49 years",5.85332258208429e-05,2023-04-30,70
"353","50-64 years",5.37859740246844e-05,2023-04-30,70
"354","65-74 years",0.000194291147351233,2023-04-30,70
"355","75+ years",0.000172143368503067,2023-04-30,70
"356","0-17 years",1.84380684954008e-05,2023-05-07,71
"357","18-49 years",9.24208828750151e-06,2023-05-07,71
"358","50-64 years",1.02055437892991e-05,2023-05-07,71
"359","65-74 years",3.60235865909581e-05,2023-05-07,71
"360","75+ years",2.81466645182739e-05,2023-05-07,71
"361","0-17 years",0,2023-05-14,72
"362","18-49 years",0,2023-05-14,72
"363","50-64 years",0,2023-05-14,72
"364","65-74 years",0,2023-05-14,72
"365","75+ years",0,2023-05-14,72
"366","0-17 years",0,2023-05-21,73
"367","18-49 years",0,2023-05-21,73
"368","50-64 years",0,2023-05-21,73
"369","65-74 years",0,2023-05-21,73
"370","75+ years",0,2023-05-21,73
"371","0-17 years",0,2023-05-28,74
"372","18-49 years",0,2023-05-28,74
"373","50-64 years",0,2023-05-28,74
"374","65-74 years",0,2023-05-28,74
"375","75+ years",0,2023-05-28,74
"376","0-17 years",0,2023-06-04,75
"377","18-49 years",0,2023-06-04,75
"378","50-64 years",0,2023-06-04,75
"379","65-74 years",0,2023-06-04,75
"380","75+ years",0,2023-06-04,75
"381","0-17 years",0,2023-06-11,76
"382","18-49 years",0,2023-06-11,76
"383","50-64 years",0,2023-06-11,76
"384","65-74 years",0,2023-06-11,76
"385","75+ years",0,2023-06-11,76
"386","0-17 years",0,2023-06-18,77
"387","18-49 years",0,2023-06-18,77
"388","50-64 years",0,2023-06-18,77
"389","65-74 years",0,2023-06-18,77
"390","75+ years",0,2023-06-18,77
"391","0-17 years",0,2023-06-25,78
"392","18-49 years",0,2023-06-25,78
"393","50-64 years",0,2023-06-25,78
"394","65-74 years",0,2023-06-25,78
"395","75+ years",0,2023-06-25,78
"396","0-17 years",0,2023-07-02,79
"397","18-49 years",0,2023-07-02,79
"398","50-64 years",0,2023-07-02,79
"399","65-74 years",0,2023-07-02,79
"400","75+ years",0,2023-07-02,79
"401","0-17 years",0,2023-07-09,80
"402","18-49 years",0,2023-07-09,80
"403","50-64 years",0,2023-07-09,80
"404","65-74 years",0,2023-07-09,80
"405","75+ years",0,2023-07-09,80
"406","0-17 years",0,2023-07-16,81
"407","18-49 years",0,2023-07-16,81
"408","50-64 years",0,2023-07-16,81
"409","65-74 years",0,2023-07-16,81
"410","75+ years",0,2023-07-16,81
"411","0-17 years",0,2023-07-23,82
"412","18-49 years",0,2023-07-23,82
"413","50-64 years",0,2023-07-23,82
"414","65-74 years",0,2023-07-23,82
"415","75+ years",0,2023-07-23,82
"416","0-17 years",0,2023-07-30,83
"417","18-49 years",0,2023-07-30,83
"418","50-64 years",0,2023-07-30,83
"419","65-74 years",0,2023-07-30,83
"420","75+ years",0,2023-07-30,83
"421","0-17 years",0,2023-08-06,84
"422","18-49 years",0,2023-08-06,84
"423","50-64 years",0,2023-08-06,84
"424","65-74 years",0,2023-08-06,84
"425","75+ years",0,2023-08-06,84
"426","0-17 years",0,2023-08-13,85
"427","18-49 years",0,2023-08-13,85
"428","50-64 years",0,2023-08-13,85
"429","65-74 years",0,2023-08-13,85
"430","75+ years",0,2023-08-13,85
"431","0-17 years",0,2023-08-20,86
"432","18-49 years",0,2023-08-20,86
"433","50-64 years",0,2023-08-20,86
"434","65-74 years",0,2023-08-20,86
"435","75+ years",0,2023-08-20,86
"436","0-17 years",0,2023-08-27,87
"437","18-49 years",0,2023-08-27,87
"438","50-64 years",0,2023-08-27,87
"439","65-74 years",0,2023-08-27,87
"440","75+ years",0,2023-08-27,87
"441","0-17 years",0,2023-09-03,88
"442","18-49 years",0,2023-09-03,88
"443","50-64 years",0,2023-09-03,88
"444","65-74 years",0,2023-09-03,88
"445","75+ years",0,2023-09-03,88
"446","0-17 years",0,2023-09-10,89
"447","18-49 years",0,2023-09-10,89
"448","50-64 years",0,2023-09-10,89
"449","65-74 years",0,2023-09-10,89
"450","75+ years",0,2023-09-10,89
"451","0-17 years",0,2023-09-17,90
"452","18-49 years",0,2023-09-17,90
"453","50-64 years",0,2023-09-17,90
"454","65-74 years",0,2023-09-17,90
"455","75+ years",0,2023-09-17,90
"456","0-17 years",0,2023-09-24,91
"457","18-49 years",0,2023-09-24,91
"458","50-64 years",0,2023-09-24,91
"459","65-74 years",0,2023-09-24,91
"460","75+ years",0,2023-09-24,91
"461","0-17 years",0,2023-10-01,92
"462","18-49 years",0,2023-10-01,92
"463","50-64 years",0,2023-10-01,92
"464","65-74 years",0,2023-10-01,92
"465","75+ years",0,2023-10-01,92
"466","0-17 years",0,2023-10-08,93
"467","18-49 years",0,2023-10-08,93
"468","50-64 years",0,2023-10-08,93
"469","65-74 years",0,2023-10-08,93
"470","75+ years",0,2023-10-08,93
"471","0-17 years",0,2023-10-15,94
"472","18-49 years",0,2023-10-15,94
"473","50-64 years",0,2023-10-15,94
"474","65-74 years",0,2023-10-15,94
"475","75+ years",0,2023-10-15,94
"476","0-17 years",0,2023-10-22,95
"477","18-49 years",0,2023-10-22,95
"478","50-64 years",0,2023-10-22,95
"479","65-74 years",0,2023-10-22,95
"480","75+ years",0,2023-10-22,95
"481","0-17 years",0,2023-10-29,96
"482","18-49 years",0,2023-10-29,96
"483","50-64 years",0,2023-10-29,96
"484","65-74 years",0,2023-10-29,96
"485","75+ years",0,2023-10-29,96
"486","0-17 years",0,2023-11-05,97
"487","18-49 years",0,2023-11-05,97
"488","50-64 years",0,2023-11-05,97
"489","65-74 years",0,2023-11-05,97
"490","75+ years",0,2023-11-05,97
"491","0-17 years",0,2023-11-12,98
"492","18-49 years",0,2023-11-12,98
"493","50-64 years",0,2023-11-12,98
"494","65-74 years",0,2023-11-12,98
"495","75+ years",0,2023-11-12,98
"496","0-17 years",0,2023-11-19,99
"497","18-49 years",0,2023-11-19,99
"498","50-64 years",0,2023-11-19,99
"499","65-74 years",0,2023-11-19,99
"500","75+ years",0,2023-11-19,99
"501","0-17 years",0,2023-11-26,100
"502","18-49 years",0,2023-11-26,100
"503","50-64 years",0,2023-11-26,100
"504","65-74 years",0,2023-11-26,100
"505","75+ years",0,2023-11-26,100
"506","0-17 years",0,2023-12-03,101
"507","18-49 years",0,2023-12-03,101
"508","50-64 years",0,2023-12-03,101
"509","65-74 years",0,2023-12-03,101
"510","75+ years",0,2023-12-03,101
"511","0-17 years",0,2023-12-10,102
"512","18-49 years",0,2023-12-10,102
"513","50-64 years",0,2023-12-10,102
"514","65-74 years",0,2023-12-10,102
"515","75+ years",0,2023-12-10,102
"516","0-17 years",0,2023-12-17,103
"517","18-49 years",0,2023-12-17,103
"518","50-64 years",0,2023-12-17,103
"519","65-74 years",0,2023-12-17,103
"520","75+ years",0,2023-12-17,103
"521","0-17 years",0,2023-12-24,104
"522","18-49 years",0,2023-12-24,104
"523","50-64 years",0,2023-12-24,104
"524","65-74 years",0,2023-12-24,104
"525","75+ years",0,2023-12-24,104
